15-05-2024,China Ferry Terminal,Arrival,981,413,261,1655
22-03-2024,China Ferry Terminal,Departure,980,676,228,1884
28-09-2024,China Ferry Terminal,Departure,979,376,30,1385
30-11-2024,China Ferry Terminal,Departure,972,1091,33,2096
26-04-2024,China Ferry Terminal,Arrival,971,530,274,1775
22-06-2024,China Ferry Terminal,Departure,969,579,120,1668
19-02-2024,China Ferry Terminal,Arrival,967,1059,173,2199
22-09-2024,China Ferry Terminal,Arrival,960,355,34,1349
20-10-2024,China Ferry Terminal,Arrival,960,377,121,1458
5/1/2024,China Ferry Terminal,Departure,951,597,202,1750
19-01-2024,China Ferry Terminal,Arrival,951,911,329,2191
12/7/2024,China Ferry Terminal,Departure,950,677,96,1723
2/8/2024,China Ferry Terminal,Departure,949,711,143,1803
15-06-2024,China Ferry Terminal,Departure,947,485,139,1571
12/1/2024,China Ferry Terminal,Departure,935,741,196,1872
11/2/2024,China Ferry Terminal,Arrival,933,2751,257,3941
14-05-2024,China Ferry Terminal,Departure,922,470,259,1651
16-11-2024,China Ferry Terminal,Departure,922,396,55,1373
31-12-2024,China Ferry Terminal,Arrival,919,916,101,1936
17-08-2024,China Ferry Terminal,Departure,918,696,98,1712
17-09-2024,China Ferry Terminal,Departure,917,530,62,1509
29-09-2024,China Ferry Terminal,Arrival,913,416,50,1379
26-03-2024,China Ferry Terminal,Departure,902,648,249,1799
14-06-2024,China Ferry Terminal,Departure,902,642,178,1722
21-06-2024,China Ferry Terminal,Departure,900,557,113,1570
1/5/2024,China Ferry Terminal,Arrival,898,2388,169,3455
26-07-2024,China Ferry Terminal,Departure,896,718,93,1707
17-05-2024,China Ferry Terminal,Arrival,891,612,253,1756
27-07-2024,China Ferry Terminal,Departure,890,739,98,1727
9/8/2024,China Ferry Terminal,Departure,890,877,67,1834
23-08-2024,China Ferry Terminal,Departure,886,854,133,1873
13-04-2024,China Ferry Terminal,Arrival,874,1203,396,2473
13-05-2024,China Ferry Terminal,Departure,874,429,242,1545
16-08-2024,China Ferry Terminal,Departure,869,809,136,1814
12/4/2024,China Ferry Terminal,Arrival,866,845,388,2099
15-05-2024,China Ferry Terminal,Departure,866,493,217,1576
31-08-2024,China Ferry Terminal,Departure,865,537,114,1516
30-04-2024,China Ferry Terminal,Departure,861,838,336,2035
27-09-2024,China Ferry Terminal,Departure,858,390,51,1299
22-04-2024,China Ferry Terminal,Arrival,851,454,228,1533
22-01-2024,China Ferry Terminal,Arrival,850,1153,225,2228
23-12-2024,China Ferry Terminal,Arrival,847,848,83,1778
29-04-2024,China Ferry Terminal,Departure,846,701,325,1872
30-06-2024,China Ferry Terminal,Arrival,841,475,98,1414
29-11-2024,China Ferry Terminal,Departure,841,872,43,1756
22-11-2024,China Ferry Terminal,Departure,833,429,46,1308
22-01-2024,China Ferry Terminal,Departure,832,1181,331,2344
15-04-2024,China Ferry Terminal,Departure,832,608,415,1855
6/5/2024,China Ferry Terminal,Departure,827,512,248,1587
13-09-2024,China Ferry Terminal,Departure,822,350,41,1213
8/11/2024,China Ferry Terminal,Departure,822,396,44,1262
15-11-2024,China Ferry Terminal,Departure,820,412,62,1294
29-04-2024,China Ferry Terminal,Arrival,819,742,283,1844
6/7/2024,China Ferry Terminal,Departure,815,505,133,1453
26-10-2024,China Ferry Terminal,Departure,814,492,41,1347
11/4/2024,China Ferry Terminal,Departure,813,611,341,1765
4/10/2024,China Ferry Terminal,Departure,813,1253,74,2140
2/11/2024,China Ferry Terminal,Departure,813,293,50,1156
31-05-2024,China Ferry Terminal,Departure,811,486,132,1429
18-04-2024,China Ferry Terminal,Departure,810,712,257,1779
24-04-2024,China Ferry Terminal,Departure,810,529,266,1605
10/5/2024,China Ferry Terminal,Arrival,808,506,223,1537
5/2/2024,China Ferry Terminal,Departure,806,2274,217,3297
16-05-2024,China Ferry Terminal,Arrival,806,570,232,1608
25-05-2024,China Ferry Terminal,Arrival,806,757,255,1818
23-11-2024,China Ferry Terminal,Departure,806,418,51,1275
1/11/2024,China Ferry Terminal,Departure,805,392,72,1269
12/10/2024,China Ferry Terminal,Arrival,804,500,72,1376
27-05-2024,China Ferry Terminal,Departure,801,581,203,1585
17-01-2024,China Ferry Terminal,Departure,800,892,187,1879
19-04-2024,China Ferry Terminal,Arrival,800,653,385,1838
21-03-2024,China Ferry Terminal,Departure,798,703,246,1747
26-02-2024,China Ferry Terminal,Arrival,794,608,317,1719
19-10-2024,China Ferry Terminal,Departure,793,381,47,1221
29-01-2024,China Ferry Terminal,Departure,792,1241,292,2325
29-01-2024,China Ferry Terminal,Arrival,789,1378,160,2327
27-06-2024,China Ferry Terminal,Departure,789,531,206,1526
21-06-2024,China Ferry Terminal,Arrival,787,531,116,1434
29-03-2024,China Ferry Terminal,Arrival,785,667,318,1770
8/4/2024,China Ferry Terminal,Departure,779,695,409,1883
5/1/2024,China Ferry Terminal,Arrival,778,628,271,1677
20-04-2024,China Ferry Terminal,Arrival,777,813,373,1963
4/3/2024,China Ferry Terminal,Departure,774,399,366,1539
9/4/2024,China Ferry Terminal,Arrival,773,651,237,1661
17-04-2024,China Ferry Terminal,Departure,772,655,323,1750
25-03-2024,China Ferry Terminal,Departure,769,621,285,1675
16-05-2024,China Ferry Terminal,Departure,768,566,196,1530
5/10/2024,China Ferry Terminal,Departure,767,1166,76,2009
2/2/2024,China Ferry Terminal,Arrival,764,1371,182,2317
9/6/2024,China Ferry Terminal,Arrival,761,931,91,1783
18-04-2024,China Ferry Terminal,Arrival,758,647,227,1632
19-08-2024,China Ferry Terminal,Arrival,757,723,76,1556
25-10-2024,China Ferry Terminal,Departure,757,331,52,1140
16-03-2024,China Ferry Terminal,Arrival,756,996,308,2060
26-02-2024,China Ferry Terminal,Departure,755,514,374,1643
8/3/2024,China Ferry Terminal,Arrival,755,914,301,1970
5/7/2024,China Ferry Terminal,Departure,751,494,156,1401
15-03-2024,China Ferry Terminal,Arrival,750,752,252,1754
5/2/2024,China Ferry Terminal,Arrival,749,2201,190,3140
22-03-2024,China Ferry Terminal,Arrival,746,708,290,1744
27-04-2024,China Ferry Terminal,Arrival,743,579,328,1650
24-05-2024,China Ferry Terminal,Arrival,741,652,333,1726
2/5/2024,China Ferry Terminal,Arrival,740,2342,309,3391
31-01-2024,China Ferry Terminal,Arrival,739,1390,227,2356
21-01-2024,China Ferry Terminal,Departure,738,1362,366,2466
1/2/2024,China Ferry Terminal,Departure,736,1645,233,2614
30-08-2024,China Ferry Terminal,Departure,736,657,133,1526
28-06-2024,China Ferry Terminal,Arrival,731,550,164,1445
7/4/2024,China Ferry Terminal,Departure,728,692,340,1760
3/5/2024,China Ferry Terminal,Arrival,727,2195,384,3306
24-02-2024,China Ferry Terminal,Arrival,725,844,237,1806
30-09-2024,China Ferry Terminal,Arrival,724,663,48,1435
20-05-2024,China Ferry Terminal,Arrival,721,417,171,1309
2/7/2024,China Ferry Terminal,Arrival,719,471,94,1284
4/3/2024,China Ferry Terminal,Arrival,718,464,194,1376
6/5/2024,China Ferry Terminal,Arrival,718,538,197,1453
12/1/2024,China Ferry Terminal,Arrival,717,736,238,1691
25-03-2024,China Ferry Terminal,Arrival,715,631,284,1630
11/5/2024,China Ferry Terminal,Arrival,715,459,252,1426
1/6/2024,China Ferry Terminal,Departure,714,256,116,1086
8/1/2024,China Ferry Terminal,Departure,712,641,189,1542
18-05-2024,China Ferry Terminal,Arrival,711,904,218,1833
12/8/2024,China Ferry Terminal,Arrival,710,825,79,1614
20-01-2024,China Ferry Terminal,Arrival,708,1317,238,2263
22-04-2024,China Ferry Terminal,Departure,708,411,312,1431
30-01-2024,China Ferry Terminal,Departure,707,1410,278,2395
6/3/2024,China Ferry Terminal,Departure,707,497,275,1479
14-06-2024,China Ferry Terminal,Arrival,707,572,175,1454
21-09-2024,China Ferry Terminal,Departure,707,520,31,1258
23-02-2024,China Ferry Terminal,Arrival,706,739,295,1740
26-01-2024,China Ferry Terminal,Arrival,705,1218,270,2193
17-03-2024,China Ferry Terminal,Departure,704,933,328,1965
22-06-2024,China Ferry Terminal,Arrival,704,744,113,1561
1/3/2024,China Ferry Terminal,Arrival,703,625,342,1670
20-03-2024,China Ferry Terminal,Departure,701,713,289,1703
28-04-2024,China Ferry Terminal,Departure,700,504,326,1530
20-05-2024,China Ferry Terminal,Departure,700,479,248,1427
24-06-2024,China Ferry Terminal,Departure,700,543,178,1421
24-03-2024,China Ferry Terminal,Departure,699,1114,274,2087
10/4/2024,China Ferry Terminal,Departure,699,571,252,1522
13-03-2024,China Ferry Terminal,Departure,698,550,318,1566
18-03-2024,China Ferry Terminal,Arrival,697,376,244,1317
26-08-2024,China Ferry Terminal,Arrival,697,802,262,1761
23-01-2024,China Ferry Terminal,Arrival,695,865,165,1725
25-02-2024,China Ferry Terminal,Departure,695,900,320,1915
28-03-2024,China Ferry Terminal,Arrival,695,655,224,1574
11/3/2024,China Ferry Terminal,Departure,694,439,324,1457
15-01-2024,China Ferry Terminal,Departure,693,745,248,1686
12/6/2024,China Ferry Terminal,Departure,693,370,167,1230
2/1/2024,China Ferry Terminal,Departure,692,608,277,1577
13-05-2024,China Ferry Terminal,Arrival,692,530,179,1401
5/12/2024,China Ferry Terminal,Departure,692,498,51,1241
15-01-2024,China Ferry Terminal,Arrival,690,785,236,1711
23-03-2024,China Ferry Terminal,Arrival,688,1312,332,2332
19-03-2024,China Ferry Terminal,Departure,686,719,241,1646
4/2/2024,China Ferry Terminal,Departure,685,1794,271,2750
7/5/2024,China Ferry Terminal,Departure,685,452,138,1275
19-05-2024,China Ferry Terminal,Departure,685,805,266,1756
16-12-2024,China Ferry Terminal,Departure,685,527,55,1267
6/12/2024,China Ferry Terminal,Arrival,683,609,98,1390
